protein,diff,p,q
SIGLEC7,-0.009234740259740228,0.35673099453946366,0.498672738899499
SIGLEC8,-0.11957088744588734,0.20717312334809712,0.34212827093021914
SIGLEC9,-0.05135974025974023,0.3307637157371567,0.47486362529455256
SIL1,-0.17584047619047605,0.18373920080264938,0.3155521057262891
SIRPA,-0.18914220779220778,0.15979040242195397,0.28410422523076123
SIRPB1,-0.2563992965367966,0.02750858748709986,0.07953274107299001
SIRT1,0.12178695887445883,0.989834284409546,0.9949400320939144
SIRT2,1.3130518398268405,4.847681543875357e-12,1.4608013559533678e-10
SIRT5,-0.1522541666666667,0.03063576206068976,0.08652413576605571
SIT1,-0.05389599567099568,0.5721680575340528,0.6882518568850509
SKAP1,0.18055562770562777,0.1648970438222377,0.2907081176673105
SKAP2,2.1186964826839834,1.3351795017351673e-13,2.217460459053443e-11
SKIV2L,-0.02074523809523815,0.2293953153373186,0.366005735115165
SLA2,1.7465084415584409,3.997285044511306e-11,8.71945088440787e-10
SLAMF1,-0.08328923160173143,0.5955002115928472,0.7075801294658098
SLAMF6,-0.198191341991342,0.03063718115561671,0.08652413576605571
SLAMF7,-0.4683402056277056,0.00014403490372769104,0.0010024143418953355
SLAMF8,-0.08302056277056279,0.8153046147914853,0.8787372378449527
SLC12A2,-0.14190427489177487,0.03031043942986753,0.08635225580263428
SLC13A1,0.27489707792207796,0.02998809208778528,0.08551726163180133
SLC16A1,-0.10499545454545467,0.5492826199977975,0.6670349390334699
SLC1A4,-0.18082521645021654,0.07515485848406672,0.1660450879432555
SLC27A4,0.21796639610389607,0.012366205194889214,0.04397374426357807
SLC28A1,-0.07067288961038959,0.3932939322736131,0.5327146265226002
SLC34A3,-0.20017548701298712,0.044552052363545,0.11343697653191814
SLC39A14,-0.13866450216450213,0.10025633385690731,0.20017026220200823
SLC39A5,0.17172732683982678,0.4420608276938772,0.5765925030563156
SLC44A4,-0.2577757575757576,0.006481642845627389,0.02698837897118071
SLC4A1,0.27660303030303,0.1093455616837158,0.2139337863463864
SLC51B,-0.13356726190476198,0.352316140130296,0.49534395266996406
SLC9A3R1,0.912519696969697,1.9988432074970907e-11,4.789031717634423e-10
SLC9A3R2,0.016539935064935077,0.6252581203826834,0.7301755836510521
SLIRP,-0.2214249999999999,0.002076141195144022,0.010627952212619925
SLIT2,-0.06224945887445888,0.6556396536746179,0.7518378610007486
SLITRK1,-0.16299242424242436,0.10025633385690731,0.20017026220200823
SLITRK2,-0.009798214285714299,0.8717870580547076,0.9156426772166404
SLITRK6,-0.2461027597402597,0.0012292163338923378,0.006641403593285218
SLK,-0.01062012987012978,0.41969827442091456,0.5573730377702558
SLMAP,0.09505919913419918,0.4941162142860759,0.6214723297582615
SLURP1,-0.09312651515151515,0.31008327000867275,0.45318669911767523
SMAD2,0.060129220779220775,0.42214945788101177,0.5591067687223307
SMAD3,0.44559891774891774,1.2075818253737174e-06,1.1277193851652958e-05
SMAD5,-0.004757792207792204,0.8717870580547076,0.9156426772166404
SMARCA2,-0.23326217532467375,0.5549601517253584,0.6716991495660412
SMC3,-0.25201650432900424,0.10202429828522597,0.20300682361314876
SMNDC1,0.11372721861471735,0.2293953153373186,0.366005735115165
SMOC1,-0.004450162337662378,0.888539123512752,0.9292307184356974
SMOC2,0.14719702380952362,0.06717777205291098,0.1529288377808869
SMPD1,-0.2426442640692639,0.01884291680539264,0.060392374805002945
SMPD3,0.0628371212121212,0.989834284409546,0.9949400320939144
SMPDL3A,-0.2949785173160175,0.009002956432049061,0.035228435944952355
SMPDL3B,-0.16385692640692623,0.12733531063635145,0.2399749277821117
SMS,-0.2471777056277056,0.06107481628675527,0.14281735040494853
SMTN,0.23753414502164502,0.014263673280005065,0.04922398700998207
SNAP23,1.8457709415584411,5.77658873748661e-14,2.217460459053443e-11
SNAP25,-0.11244523809523806,0.2164978042940242,0.352351381932869
