feature,layer,diff_high_minus_low,p,q
ATP6V1G1,proteomics,0.8133708333333329,3.13111407905686e-08,3.575576632672795e-07
SNX9,proteomics,0.5424879870129871,3.131534786056228e-08,3.575576632672795e-07
PARK7,proteomics,0.6955334415584415,3.2868902932025983e-08,3.709490473757218e-07
COX5B,proteomics,0.7983556277056276,3.2868902932025983e-08,3.709490473757218e-07
DTYMK,proteomics,0.9574548160173152,3.2868902932025983e-08,3.709490473757218e-07
FDX2,proteomics,0.99457408008658,3.620343208473844e-08,4.070101230141941e-07
TRIAP1,proteomics,0.5386162337662337,3.799148893108371e-08,4.254755637760831e-07
ARHGEF1,proteomics,1.201131764069264,3.986506016495552e-08,4.430630070804753e-07
GP6,proteomics,0.6467528138528137,3.986506016495552e-08,4.430630070804753e-07
INPPL1,proteomics,0.6389036255411262,4.18280939018594e-08,4.631193881633903e-07
SEC31A,proteomics,0.7751429653679653,4.3884713561605724e-08,4.822369087991485e-07
AKR1B1,proteomics,1.0555966991341994,4.3884713561605724e-08,4.822369087991485e-07
NAA80,proteomics,0.8334634199134199,4.603922531866411e-08,5.021367746509523e-07
PTPN1,proteomics,0.460237608225108,4.603922531866411e-08,5.021367746509523e-07
PSRC1,proteomics,0.6152652597402597,4.829612585371122e-08,5.247939623434866e-07
EIF4B,proteomics,1.1253764610389614,5.844467788811427e-08,6.327177535813258e-07
GLOD4,proteomics,0.4431921536796533,6.426561314390179e-08,6.931674805152212e-07
CRYZL1,proteomics,0.8046752705627708,7.76391585453302e-08,8.343355162794124e-07
SERPINA1,proteomics,-0.1353683441558442,8.530006003992538e-08,9.066620927152794e-07
NUDC,proteomics,0.5269441558441559,8.530006003992538e-08,9.066620927152794e-07
MPHOSPH8,proteomics,0.5629887987012986,8.530006003992538e-08,9.066620927152794e-07
LDLRAP1,proteomics,0.9995633658008658,1.028777216977791e-07,1.0856013737278275e-06
PVALB,proteomics,1.454221374458874,1.028777216977791e-07,1.0856013737278275e-06
NDUFS6,proteomics,1.3061568722943726,1.1293403920778189e-07,1.1874323618861382e-06
CLPP,proteomics,0.6869576298701296,1.2393864967230821e-07,1.298468361979057e-06
CAMSAP1,proteomics,1.034096699134199,1.3284958916037861e-07,1.3868548182706669e-06
GLRX5,proteomics,0.7713234848484845,1.876811864826519e-07,1.9522850821665176e-06
METAP1D,proteomics,0.6264732142857145,2.1522550337944339e-07,2.223246147970974e-06
APP,proteomics,0.3243778138528139,2.1525099551001906e-07,2.223246147970974e-06
MCEMP1,proteomics,0.80602132034632,2.3043778234207594e-07,2.371724076710873e-06
NIT2,proteomics,0.7967679112554111,2.3576333469162274e-07,2.4180218501881165e-06
CHMP6,proteomics,0.4905147727272726,2.467154036587962e-07,2.52150043669462e-06
NUB1,proteomics,0.5939206709956713,3.162375910431905e-07,3.2207751868266408e-06
STIP1,proteomics,0.6636451839826842,3.235033276236715e-07,3.26069043670342e-06
IGBP1,proteomics,0.9034245129870132,3.235033276236715e-07,3.26069043670342e-06
CDC42BPB,proteomics,0.3431772727272727,3.234661009250108e-07,3.26069043670342e-06
MARS1,proteomics,0.4352417748917749,3.8701410013537203e-07,3.887430291050489e-06
TARS1,proteomics,0.4053410714285715,4.046811287701045e-07,4.023411358486447e-06
NUDT16,proteomics,0.976960443722944,4.046811287701045e-07,4.023411358486447e-06
MINDY1,proteomics,0.8600760281385282,4.046811287701045e-07,4.023411358486447e-06
TXNDC9,proteomics,0.3780929112554112,4.231250966475237e-07,4.178360329394297e-06
DARS1,proteomics,0.6921792207792208,4.231250966475237e-07,4.178360329394297e-06
HSBP1,proteomics,0.8591479437229436,4.62476282130725e-07,4.551576338949862e-06
OPHN1,proteomics,0.495584523809524,4.834530650894748e-07,4.726198358717508e-06
CCN2,proteomics,0.4923652597402596,4.834530650894748e-07,4.726198358717508e-06
STX4,proteomics,0.2731180194805194,5.281348641606732e-07,5.129267913045492e-06
NMT1,proteomics,0.7220362554112554,5.281935141384513e-07,5.129267913045492e-06
BRAP,proteomics,0.6696425865800869,5.769132976106667e-07,5.565404517874517e-06
FKBP4,proteomics,0.4806444264069268,5.769132976106667e-07,5.565404517874517e-06
TOM1L2,proteomics,0.8373107142857144,6.028702129193793e-07,5.796676422247848e-06
DHRS4L2,proteomics,0.4161060064935066,6.299510395351548e-07,6.017473492030254e-06
