feature,layer,diff_high_minus_low,p,q
UROD,proteomics,0.7659280844155838,6.299510395351548e-07,6.017473492030254e-06
ACYP1,proteomics,0.7306818722943724,6.582024034170415e-07,6.246511770090949e-06
TNFRSF13B,proteomics,-0.4133073593073593,6.582024034170415e-07,6.246511770090949e-06
EHBP1,proteomics,0.3782579545454546,6.87672773325121e-07,6.50507286870333e-06
L3HYPDH,proteomics,0.5442316558441561,7.503928715056206e-07,7.075478591648158e-06
EIF1AX,proteomics,0.9227292748917748,8.187821110325966e-07,7.695498747743664e-06
SYAP1,proteomics,0.4769935606060606,8.551439982059253e-07,8.011493290884357e-06
SMAD3,proteomics,0.4455989177489177,1.2075818253737174e-06,1.1277193851652958e-05
CNST,proteomics,0.2637695887445888,1.3728440589942409e-06,1.2698807545696728e-05
MAP2K1,proteomics,0.4387354437229438,1.3728440589942409e-06,1.2698807545696728e-05
THTPA,proteomics,0.5319798160173161,1.3728440589942409e-06,1.2698807545696728e-05
CCL17,proteomics,0.9947104437229436,1.4326131036747846e-06,1.3209867829783582e-05
FKBPL,proteomics,0.5489674783549783,1.5597450091471408e-06,1.4291958187263612e-05
ARHGAP45,proteomics,0.2787699675324674,1.5597450091471408e-06,1.4291958187263612e-05
ATP6V1F,proteomics,0.9997209956709951,1.7709807518679591e-06,1.6176802305343888e-05
DLG4,proteomics,0.3000449134199134,1.8473114470603037e-06,1.671731071132281e-05
ARSB,proteomics,0.559469264069264,1.8473114470603037e-06,1.671731071132281e-05
LGALS8,proteomics,0.4735794372294373,1.8473114470603037e-06,1.671731071132281e-05
FAM13A,proteomics,0.5491500000000002,1.9267979454315798e-06,1.732932429075848e-05
NT5C,proteomics,0.6452996753246751,1.9267979454315798e-06,1.732932429075848e-05
VPS37A,proteomics,0.5705178030303033,2.2788628034984803e-06,2.0432871087809998e-05
