COCOMO_ID,endotype,YARS1,GCC1,MTDH,SKAP2,DBNL,SNAP23,PTPN6,DNAJB6,PLA2G4A,CRKL,PMVK,LAT,HCLS1,CASP3,IRAK4,SNAP29,RAB27B,CLIP2,FYB1,MPIG6B,PPP1R12A,EBAG9,DAPP1,DAB2,CDC26,MESD,BCL2L1,EGF,PLCB2,DNAJA2,GRAP2,IST1,ERP29,PPP1R9B,NEXN,SRC,MGLL,NCK2,PRKG1,CD69
1270,1,1.8581999999999999,-0.659,-1.329,-1.0951,0.0097,-1.9903,-1.3563,0.2198,-0.3702,0.3814,0.5381999999999999,-0.3184,-1.4033,0.46270000000000006,0.238,0.4055,-1.1346,0.0982,-0.5564,-0.0665,-0.2255,0.6859999999999999,-0.12390000000000001,0.5551999999999999,0.0651,0.1462,0.8965,-3.2083,-0.435,0.5192,-0.06760000000000001,1.0577999999999999,-0.2253,-1.3223,-0.2599,0.2902,-1.0619,-0.1946,-0.7671,-0.8057000000000001
1316,0,3.9454,0.1713,0.5432999999999999,-0.7037,0.2567,-0.8975,-0.2006,0.4542,0.10209999999999997,0.692,2.0069,0.43229999999999996,-0.6041000000000001,0.6681999999999999,0.42229999999999995,1.1861,-0.08700000000000001,0.5654999999999999,-0.020800000000000013,0.05259999999999998,0.37789999999999996,1.4011,1.2429999999999999,1.1439,0.5368999999999999,0.7403,1.6037,-2.6122,-0.4096,1.0852,0.39030000000000004,1.678,0.4977,-0.3184,0.5727,-0.025800000000000017,0.1768,0.2681,0.20989999999999998,-0.5007
1346,0,3.4644000000000004,0.6929,0.16010000000000002,-0.4304,0.36560000000000004,-0.8459,-0.1215,0.9998,0.2908,0.9517,2.8091999999999997,0.47119999999999995,-0.7339,0.9137,0.46030000000000004,0.7465,0.3306,1.66,0.3134,-0.0833,0.3833,0.9196,1.7885,1.1271,1.0442,0.8677999999999999,1.0315,-2.6258999999999997,-0.7358,1.4389,1.1218,1.8042,1.2617,0.45820000000000005,0.663,1.0641,0.39890000000000003,0.4988,0.40759999999999996,-0.4137
1363,1,2.3259,-0.1374,-0.0526,-1.0826,0.4625,-1.0529,0.44610000000000005,0.7104,-0.1388,0.396,1.582,0.4446,-0.7459,0.8069000000000001,0.2768,0.8581,-0.0994,-0.8629,-0.5418000000000001,-0.3088,0.05370000000000001,0.46720000000000006,1.2707,0.9396,0.6366,0.6319,0.9606000000000001,-2.55,-0.1074,0.7119,0.5106,1.4813,0.6667,-0.5680000000000001,0.8017,-0.0692,0.2172,0.9945999999999999,0.011499999999999996,-0.778
1394,1,0.44999999999999996,-1.1608,-1.0164,-1.6228,-0.5871999999999999,-1.9237,-1.0615999999999999,0.16019999999999998,-0.6331,0.23679999999999998,-0.563,-0.7355,-1.7069,-0.0751,-0.30510000000000004,-0.1684,-0.8596,-0.7431,-1.1376,-0.7919,-0.8114,-0.482,-0.6043,-0.2511,-0.3741,-0.2546,-0.6694,-1.245,-1.1769,0.2038,-0.44489999999999996,0.19820000000000002,0.1268,-1.1641000000000001,-0.1388,-0.2131,-1.055,-0.49139999999999995,-0.9784,-0.6906
1401,1,1.4216,-0.5411,-1.0293,-1.3363,0.10640000000000001,-1.2944,-0.506,0.5377000000000001,0.2479,0.28750000000000003,1.0697,0.16970000000000002,-1.659,0.29650000000000004,-0.126,0.7017,-0.1114,0.23000000000000004,-0.4084,-0.6336999999999999,0.0271,0.16770000000000002,0.7193,0.5207,0.47209999999999996,0.17270000000000002,0.8036,-2.8111,-0.9369,0.9502999999999999,0.5977,0.23810000000000003,0.076,-1.1622999999999999,0.4747,-0.2888,0.5354,0.2812,0.29710000000000003,-0.6402
1406,0,4.0205,0.8414,1.1218,-0.2057,1.1160999999999999,-0.3106,0.4586,1.1385999999999998,0.8086000000000001,1.0659999999999998,2.4581999999999997,1.1921,-0.8052,1.4047,0.6843,1.7123999999999997,0.6894,1.4049999999999998,0.7536999999999999,0.25660000000000005,0.8675,0.6849000000000001,2.2227,1.7008999999999999,1.3353000000000002,1.3580999999999999,1.3182999999999998,-2.334,-0.050799999999999984,1.7311999999999999,1.3595000000000002,1.8900000000000001,1.4567999999999999,-0.5248999999999999,1.2083,0.9088999999999999,1.2368000000000001,0.9249999999999999,2.0417,0.20130000000000003
1409,1,-0.2493,-1.4211,-0.7325999999999999,-2.3986,-0.8078000000000001,-2.2809,-2.5256,-0.1502,-1.1195,-0.25,-1.158,-1.4952,-1.6482,-0.312,-0.3873,-0.5693999999999999,-1.7994,-0.976,-1.4381,-1.8716000000000002,-1.031,-0.3555,-1.6476,-0.5975999999999999,-0.2992,-0.6553,0.6524000000000001,-3.7085,-1.4352,-0.26789999999999997,-1.599,0.25830000000000003,-0.3121,-1.7554,-0.6453,-1.069,-1.7890000000000001,-1.0364,-2.0345999999999997,-1.2035
1410,1,1.0125,-0.7016,-0.9831,-1.2689000000000001,-0.5079,-1.6206,-1.6058000000000001,0.3236,-0.2794,0.28,0.38549999999999995,-0.9016000000000001,-1.6619,0.1549,-0.2756,-0.021500000000000005,-1.0867,-0.0681,-0.7661,-0.7027,-0.8689,0.0175,-0.034100000000000005,0.32089999999999996,0.19010000000000002,-0.1583,0.6221,-3.2556,-1.6089,0.30200000000000005,0.146,0.9064999999999999,0.2493,-1.2068,0.30289999999999995,0.35629999999999995,-0.2858,-0.2384,-0.353,-1.0831
1419,0,3.3520000000000003,0.2366,0.3649,-0.3199,0.31920000000000004,-0.5381,-0.3569,0.7093,0.13049999999999998,0.951,1.4798,0.8292,-0.6738,0.8175,0.5148,0.9988,-0.2283,1.0577999999999999,-0.04720000000000002,0.3687,0.507,0.5889,1.1498,1.2344,0.7242000000000001,0.29869999999999997,1.1549999999999998,-2.3581,-0.3627,1.0242,1.1869999999999998,1.9128999999999998,1.1412,0.0633,0.8386000000000001,1.1233,0.4024,0.4062,1.5608,0.0824
