protein,diff,p,q
MRPL24,0.17745124458874464,0.004374986220429002,0.020363192232984034
MRPL28,-0.07784978354978354,0.3932939322736131,0.6699290000208457
MRPL46,0.17144253246753247,0.0069101909393426975,0.030979276251071632
MRPL52,0.07281845238095232,0.21024646551465664,0.470924208344911
MRPL58,0.45778398268398257,0.00023122902418022624,0.0013793519136302067
MRPS16,0.0021987012987013527,0.7890343476731525,0.9144914346743159
MSLN,0.06610968614718615,0.7955807254302163,0.9169883519055687
MSLNL,-0.14580102813852813,0.27692546911373994,0.5609515912816784
MSMB,-0.033775649350649306,0.5549618358542556,0.7878355736775081
MSR1,0.15698717532467543,0.09177985399200234,0.2658795968469998
MSRA,0.8849612554112554,2.998413365406398e-11,6.444384019913899e-10
MST1,0.04095481601731599,0.60732592687876,0.8161901996628117
MSTN,0.11422121212121215,0.21649584882672868,0.4816005189889138
MTDH,2.292724567099567,1.8369700169279985e-13,2.86102024087109e-11
MTHFD2,0.16311536796536796,0.14055435723976775,0.3597551543010868
MTHFSD,0.19744556277056285,0.05330762678164272,0.17488345444214437
MTIF3,1.9999938311688306,8.283946625064244e-12,2.0878351697487282e-10
MTPN,0.2946641774891775,4.236592473628102e-05,0.00027890900451385
MTR,0.07561314935064933,0.8153046147914853,0.9240540477066738
MTSS1,1.3731570887445885,8.869272248741894e-10,1.23451822776536e-08
MTSS2,0.5379234307359306,0.0002162893266524188,0.001292870555838487
MTUS1,0.02819009740259748,0.6803652140431975,0.8590529246860762
MUC13,-0.12690146103896116,0.5380108904868224,0.7758292219501637
MUC16,0.28516856060606055,0.19228561821459866,0.4467812893809793
MUC2,-0.2425209415584417,0.2532632288256408,0.5284000127461442
MUCL3,-0.127778841991342,0.5866988749384472,0.8039947545452795
MVK,0.43829999999999986,0.002602469733452512,0.012828025347186665
MXRA8,-0.09091661255411243,0.5837774651127747,0.8003709621156868
MYBPC1,0.5088850649350651,0.019277027534274255,0.076350611765154
MYBPC2,0.6108012445887445,0.0021976783136719597,0.011113864551666328
MYCBP2,0.1909293290043292,0.10025633385690731,0.28313938537559424
MYDGF,1.1879385281385282,1.7649369529219218e-09,2.31341287595999e-08
MYH4,0.0485157467532468,0.989834284409546,0.9976846942514148
MYH7B,-0.15390946969696973,0.6834796280789832,0.8626126739528791
MYH9,0.3669823051948051,0.0008562012882131982,0.004643421220531598
MYL1,-0.05914231601731579,0.34793602735558826,0.634446043643409
MYL3,0.5261832792207793,0.005405430298727538,0.024649099474540706
MYL4,0.35216704545454514,0.08542166818902228,0.2527201782555791
MYL6B,-0.019435227272727396,0.759764834997763,0.9003852442862315
MYLPF,0.3556982683982684,0.001798778389853342,0.009224261813230382
MYO6,-0.018812987012986893,0.6282674310545318,0.8289526413124509
MYO9B,0.006076731601731562,0.20717312334809712,0.4676193355571335
MYOC,0.08797559523809545,0.5549618358542556,0.7878355736775081
MYOM1,0.22481466450216453,0.0024605288309563233,0.012190043682856496
MYOM2,0.23548333333333327,0.10202429828522597,0.2870231221248465
MYOM3,0.31001569264069256,0.28259588451950446,0.5688896490706002
MZB1,-0.05892613636363628,0.9966113466412806,0.9993464721209137
MZT1,0.4091200757575758,8.721094631240552e-06,6.2942616313867e-05
NAA10,0.37218463203463215,0.0459192130721189,0.15552938564287783
NAA80,0.9479490259740256,1.0603005600891144e-08,1.1651347883986773e-07
NAAA,-0.2958128787878789,0.09177985399200234,0.2658795968469998
NACC1,0.052690097402597225,0.6679573903796867,0.8529661214852879
NADK,0.07624734848484838,0.3611805450974275,0.6461020399753858
NAGA,0.20937748917748905,0.09342742580051744,0.2690525769605049
NAGK,0.28926596320346315,0.008353552459320028,0.03655304466855156
NAGPA,-0.019993722943722814,0.8219060114431775,0.9257923974753017
NAMPT,-0.09125876623376616,0.7955807254302163,0.9169883519055687
NAP1L4,0.682674025974026,1.2604192755171365e-06,1.0319903479934425e-05
NAPRT,0.30360968614718653,0.0073645297705315525,0.032764871414404456
NARS1,0.7475608766233768,2.6788657245046724e-09,3.3902753959953967e-08
NBL1,0.010283333333333255,0.3435906963497789,0.6296649563826983
NBN,0.17869242424242426,0.13828072522718826,0.354867919086103
NCAM1,-0.028831006493506478,0.4994962818960309,0.754536243918397
NCAM2,0.006817045454545534,0.8384631038842237,0.9350735034924021
NCAN,-0.12503695887445895,0.23772681541341634,0.511313820054022
NCF2,0.21402040043289983,0.17819998408712456,0.4217640109203766
NCK2,1.7264296536796537,5.708864330804424e-13,3.700010214340195e-11
NCLN,0.17101823593073595,0.9019762328894967,0.9650357767354352
NCR1,-0.05413176406926408,0.352316140130296,0.6388462019856422
NCR3LG1,-0.033329329004328945,0.6373382289671439,0.8331572644324515
NCS1,0.06052619047619068,0.4624951165783028,0.7256461586620044
NDRG1,-0.047204978354978354,0.9356851983007191,0.9781859208272539
NDST1,0.04474058441558443,0.7792418669894783,0.9114541725531192
NDUFA5,0.04492797619047609,0.5213238597585075,0.76689966888481
NDUFB7,0.8405286796536796,5.630140607212896e-11,1.0688296304473204e-09
NDUFS6,1.4206424783549783,6.426561314390179e-08,6.367741939648303e-07
NEB,0.27900346320346314,0.04191715494780382,0.1446562501917716
NECAP2,0.41189253246753244,0.00035456672343753097,0.002072797065215806
NECTIN1,-0.07466509740259736,0.37473480507523016,0.6566881157612621
NECTIN2,-0.036771807359307296,0.9356851983007191,0.9781859208272539
NECTIN4,-0.038661038961038965,0.595497079896883,0.8080998693063566
NEDD4L,0.2934932900432906,0.023075818130982143,0.08828614711630996
NEDD9,0.0006942099567098792,0.8285200418107319,0.928590522320847
NEFL,-0.07309724025973985,0.5721696928603057,0.7952696206517705
NEK7,0.4390260822510822,0.0058449767219185475,0.02644811113775398
NELL1,0.15159247835497844,0.13828072522718826,0.354867919086103
NELL2,-0.1166798701298703,0.16232857110913013,0.3950761143646856
NENF,-0.2713051948051948,0.7054392605839808,0.8718811664638375
NEO1,-0.059136850649350675,0.2980938811170427,0.5840002778184422
NEXN,1.6839534090909096,6.075966140551809e-13,3.700010214340195e-11
NFASC,0.12863262987012986,0.08855477636169766,0.2591047160212635
NFAT5,0.053958549783549664,0.04828144215012611,0.16165710813839476
NFATC1,0.263816341991342,3.333548461308408e-05,0.0002229739622975853
NFATC3,0.16271390692640686,0.17278601716839426,0.41397830178952166
NFE2,0.6964298701298703,4.4057116286522766e-10,6.53700258403584e-09
NFIC,0.034211525974026005,0.37932461003532403,0.6588032294315223
